pv_id;timestamp;load;unit_load;reactive;unit_reactive
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 07:45;2;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 08:00;2;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 08:15;4;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 08:30;8;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 08:45;10;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 09:00;10;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 09:15;8;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 09:30;16;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 09:45;20;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 10:00;18;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 10:15;18;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 10:30;18;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 10:45;24;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 11:00;22;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 11:15;26;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 11:30;26;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 11:45;34;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 12:00;46;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 12:15;32;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 12:30;24;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 12:45;22;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 13:00;22;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 13:15;22;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 13:30;28;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 13:45;20;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 14:00;18;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 14:15;18;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 14:30;24;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 14:45;16;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 15:00;10;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 15:15;16;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 15:30;10;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 15:45;6;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 16:00;4;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 16:15;2;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 16:30;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 16:45;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 17:00;0;kW;2;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 17:15;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 17:30;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 17:45;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 18:00;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 18:15;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 18:30;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 18:45;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 19:00;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 19:15;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 19:30;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 19:45;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 20:00;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 20:15;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 20:30;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 20:45;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 21:00;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 21:15;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 21:30;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 21:45;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 22:00;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 22:15;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 22:30;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 22:45;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 23:00;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 23:15;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 23:30;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;15.11.2022 23:45;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 00:00;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 00:15;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 00:30;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 00:45;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 01:00;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 01:15;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 01:30;0;kW;0;kVarh
